timestamp,Inquisitor's_armour_set,Arcane_spirit_shield,Arcane_sigil,Sanguinesti_staff_(uncharged),Dragon_hunter_lance,Dragon_claws,Craw's_bow_(u),3rd_age_kiteshield,3rd_age_full_helmet,3rd_age_robe,Gilded_scimitar,Gilded_armour_set_(lg),Anglerfish,Manta_ray,Shark,Magic_logs,Smoke_battlestaff,Anguish_ornament_kit,Tormented_ornament_kit,Occult_ornament_kit,Torture_ornament_kit
1618617600000,490175198,141087814,139610382,69811376,63906457,55235062,9723220,35055137,23006149,26232921,17235055,13091580,1388,1223,935,992,1343260,8270112,4944347,4490541,6219023
1618704000000,490317580,139777860,139610382,69877523,63376566,55038529,9674780,35055137,23006149,26232921,17297063,13091580,1373,1248,932,989,1300652,8189927,4783726,4491391,6161892
1618790400000,494568262,139734849,138898578,69358309,62839179,54976636,9650826,34258109,21855841,27511043,17562627,13157894,1379,1248,934,991,1262355,8249195,4887702,4478331,6020498
1618876800000,490931944,136559972,138898578,68875076,62145907,54302799,9498282,34258109,21855841,28785085,17650128,13157894,1386,1207,940,993,1240820,8237655,4921539,4350888,5963232
1618963200000,491592473,136051478,138898578,68015790,60118557,53324016,9335153,35480319,21258650,28785085,17665407,13382773,1402,1197,964,995,1225430,7938653,4726126,4266179,5720219
1619049600000,484082747,134275870,138898578,65675683,57932125,51552610,9299437,35480319,21258650,30224340,17852382,13561590,1390,1183,959,999,1201537,7554419,4499756,4086008,5443056
1619136000000,471341582,131961970,138898578,64278368,57890187,51617188,9281195,34476149,21782818,31712666,18143132,13561590,1397,1160,951,1002,1187180,7179883,4312579,4061199,5283052
1619222400000,461166444,129361557,133502801,64671106,58848208,51158080,9234898,33213047,22392338,32864190,18270096,13717781,1417,1142,942,996,1175866,6958883,4151687,4045015,5127615
1619308800000,464257566,130050665,133502801,67323068,61268620,50714436,9304630,33213047,22392338,32864190,18107580,13889041,1482,1142,937,991,1168865,6932563,4124161,4029443,5187009
1619395200000,472685701,132554338,133502801,69499614,62782560,51222542,9541748,31553910,22454873,33710238,17935801,13991932,1489,1126,929,998,1182951,7038377,4096606,4037676,5253967
